"Number.of.Genes"	"Total.Samples"	"Samples.used"	"SMCenter.Batch.corrected"	"SMGEBTCH.Batch.corrected"	"Number.of.Surrogated.Variables"	"Total.Modules.in.Net"	"Plots.PCA"	"Plots.Nets...MDS"	"Net"	"Total.signals"	"Total.unique.terms"	"X.protein_coding"	"X.antisense"	"X.pseudogene"	"X.ncRNA"	"X.lincRNA"	"X.snoRNA"	"X.snRNA"	"X.other"	"Beta"
"Colon - Sigmoid"	20724	254	233	"Yes"	"Yes"	6	43	"Yes"	"Yes"	"Yes"	63	2534	74.1507457474934	8.2905172843817	8.19075173342645	0	5.92607372674216	0.349179428343393	0.0498827754776276	3.04284930413527	17
"Colon - Transverse"	20628	285	274	"Yes"	"Yes"	3	44	"Yes"	"Yes"	"Yes"	47	2990	75.0714321519876	8.03549050077698	7.6946212842749	0	5.25840894280415	0.375958694671412	0.0501278259561883	3.5139605995288	21
"Esophagus - Gastroesophageal Junction"	20402	263	244	"Yes"	"Yes"	4	72	"Yes"	"Yes"	"Yes"	40	2199	74.3463721118768	8.31475476286988	8.13741386299149	0	5.78638021888934	0.35468179975679	0.0456019456830158	3.01479529793271	17
"Esophagus - Mucosa"	20264	444	407	"Yes"	"Yes"	6	35	"Yes"	"Yes"	"Yes"	51	3112	75.325931961703	7.87838663678957	7.9496842534121	0	5.17926257893665	0.402322265227134	0.0560195559177022	3.20839274801386	13
"Esophagus - Muscularis"	20268	404	370	"Yes"	"Yes"	10	31	"Yes"	"Yes"	"Yes"	45	2305	74.750101999184	8.2874337005304	7.85393716850265	0	5.69665442676459	0.351897184822521	0.0560995512035904	3.00387596899225	9
"Fallopian Tube"	22668	7	7	"No"	"No"	0	0	"Yes"	"No"	"No"	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0
"Heart - Atrial Appendage"	18918	310	297	"Yes"	"Yes"	7	59	"Yes"	"Yes"	"Yes"	47	2406	77.456804927236	7.45625987899929	6.88940971275958	0	5.0525971548482	0.35428135389982	0.0163514471030686	2.77429552515399	17
"Heart - Left Ventricle"	16901	417	303	"Yes"	"Yes"	6	46	"Yes"	"Yes"	"Yes"	45	2138	81.5831102458019	6.21805792163543	5.47578486249696	0	4.09467023606717	0.261620832319299	0.0060842054027744	2.36067169627648	21
"Kidney - Cortex"	19966	50	45	"Yes"	"Yes"	0	9	"Yes"	"Yes"	"Yes"	8	1143	76.0577221475122	7.90834798800041	6.84803972276818	0	5.74635357401469	0.351712009930692	0.0775835316023585	3.01024102617151	21
"Liver"	18000	188	175	"Yes"	"Yes"	4	55	"Yes"	"Yes"	"Yes"	42	2743	78.5526165120806	6.81323714645597	6.46398717508302	0	4.72918813695179	0.366426199473262	0.0572540936676972	3.01729073628765	21
"Lung"	22047	607	427	"Yes"	"Yes"	0	31	"Yes"	"Yes"	"Yes"	53	2740	71.9584918063577	8.68197398694652	8.9965722871766	0	5.92571723716955	0.427290228670705	0.0798234493121097	3.93013100436683	13
"Minor Salivary Gland"	21591	104	97	"Yes"	"Yes"	0	48	"Yes"	"Yes"	"Yes"	23	2144	72.4321218215774	8.6194512282718	8.84451467701001	0	5.77503232294211	0.426183977397883	0.0909830962984245	3.81171287650241	21
"Muscle - Skeletal"	17032	718	564	"Yes"	"Yes"	9	51	"Yes"	"Yes"	"Yes"	38	2153	80.2101576182137	6.49797693097409	6.47382088290356	0	4.17295730418504	0.247599492722991	0.0362340721058035	2.36125369889487	15
"Nerve - Tibial"	22475	498	414	"Yes"	"Yes"	18	53	"Yes"	"Yes"	"Yes"	40	2772	70.2143351002535	9.35699469923946	9.79027425674118	0	6.72044249827149	0.401014058538834	0.129061995851579	3.38787739110396	11
"Ovary"	21619	138	133	"Yes"	"Yes"	0	40	"No"	"Yes"	"Yes"	37	2117	70.3960917668471	9.00426265625748	10.4506920829542	0	6.20240432970928	0.464581637051583	0.143685042387087	3.33828248479334	17
"Pancreas"	18836	268	248	"Yes"	"Yes"	2	62	"Yes"	"Yes"	"Yes"	37	2419	77.8197340338204	7.2620806654627	6.91183713675915	0	4.70092486181798	0.366661194111531	0.05472555135993	2.88403655666832	21
"Pituitary"	23073	192	183	"Yes"	"Yes"	2	63	"Yes"	"Yes"	"Yes"	42	2010	70.1545511726121	9.47973762242789	9.44828825590799	0	6.97726660077276	0.395363464821637	0.130290232725312	3.41450265073233	16
"Prostate"	22388	159	152	"Yes"	"Yes"	0	56	"No"	"Yes"	"Yes"	39	2611	71.1822090711545	9.12663553562347	9.03416709048037	0	6.68546858384576	0.406861158629618	0.0924684451430949	3.47219011512321	24
"Skin - Not Sun Exposed (Suprapubic)"	21343	408	387	"Yes"	"Yes"	14	32	"Yes"	"Yes"	"Yes"	43	2833	73.478976942453	8.30749854679326	8.97112962604147	0	5.57062584770393	0.445650067816315	0.0823483820964929	3.14377058709552	10
"Skin - Sun Exposed (Lower leg)"	21379	592	473	"Yes"	"Yes"	7	63	"Yes"	"Yes"	"Yes"	43	2819	73.587277033886	8.29023057959105	8.91864455938512	0	5.69439744767245	0.396384202639339	0.0821772127423019	3.03088896408372	15
"Small Intestine - Terminal Ileum"	21668	143	137	"Yes"	"Yes"	4	62	"Yes"	"Yes"	"Yes"	45	2565	72.9201510010991	8.52487217470254	8.40540927987767	0	5.61475605676877	0.406173842404549	0.105127347445883	4.02351029770152	20
"Spleen"	22210	169	162	"No"	"Yes"	0	71	"Yes"	"Yes"	"Yes"	39	2359	69.9873896595208	8.92998925785811	9.54649479239643	0	6.77221988697398	0.41567418616599	0.13544439773948	4.21278781934521	17
"Stomach"	19889	272	262	"Yes"	"Yes"	0	42	"Yes"	"Yes"	"Yes"	56	2690	76.5142086704003	7.76291225886745	7.08877826177142	0	4.84857913295997	0.357809583074051	0.0414851690520639	3.3862269238747	21
"Testis"	31537	284	259	"Yes"	"Yes"	0	0	"No"	"No"	"No"	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0
"Thyroid"	22544	564	446	"Yes"	"Yes"	4	32	"Yes"	"Yes"	"Yes"	43	2783	69.9834467537245	9.33419164980688	9.84918153393416	0	6.77763472503219	0.446018024645944	0.128747471031819	3.48077984182454	12
"Uterus"	21705	117	111	"Yes"	"Yes"	0	104	"No"	"Yes"	"Yes"	39	2059	70.9269595916225	9.05014073756023	9.67511092028052	0	6.3928247698106	0.4293688278231	0.10018605982539	3.42540909307763	16
"Vagina"	21545	124	115	"Yes"	"Yes"	0	57	"No"	"Yes"	"Yes"	29	2006	72.5680280270672	8.65287709363152	8.91683063780775	0	5.95575178768537	0.407928204635984	0.0815856409271968	3.41699860824495	16
"Whole Blood"	15559	2412	407	"Yes"	"Yes"	3	46	"Yes"	"Yes"	"Yes"	20	2044	80.8154903515728	5.76923076923077	6.05339677504626	0	3.57520486386466	0.191646841131377	0.0264340470526038	3.56859635210151	16
