"Number.of.Genes"	"Total.Samples"	"Samples.used"	"Total.Modules.in.Net"	"betas"	"Total.unique.terms"	"Total.signals"	"X.protein_coding"	"X.antisense"	"X.pseudogene"	"X.ncRNA"	"X.lincRNA"	"X.snoRNA"	"X.snRNA"	"X.other"	"Net"
"Liver"	18000	188	175	47	24	2732	48	78.5526165120806	6.81323714645597	6.46398717508302	0	4.72918813695179	0.366426199473262	0.0572540936676972	3.01729073628765	"Yes"
"Lung"	22047	607	427	31	13	2740	53	71.9584918063577	8.68197398694652	8.9965722871766	0	5.92571723716955	0.427290228670705	0.0798234493121097	3.93013100436683	"Yes"
"MinorSalivaryGland"	21591	104	97	48	21	2144	23	72.4321218215774	8.6194512282718	8.84451467701001	0	5.77503232294211	0.426183977397883	0.0909830962984245	3.81171287650241	"Yes"
"MuscleSkeletal"	17032	718	564	48	25	2147	38	80.2101576182137	6.49797693097409	6.47382088290356	0	4.17295730418504	0.247599492722991	0.0362340721058035	2.36125369889487	"Yes"
"NerveTibial"	22475	498	414	65	14	2554	49	70.2143351002535	9.35699469923946	9.79027425674118	0	6.72044249827149	0.401014058538834	0.129061995851579	3.38787739110396	"Yes"
"Ovary"	21619	138	133	40	17	2117	37	70.3960917668471	9.00426265625748	10.4506920829542	0	6.20240432970928	0.464581637051583	0.143685042387087	3.33828248479334	"Yes"
"Pancreas"	18836	268	248	31	21	2266	38	77.8197340338204	7.2620806654627	6.91183713675915	0	4.70092486181798	0.366661194111531	0.05472555135993	2.88403655666832	"Yes"
"Pituitary"	23073	192	183	50	14	2050	41	70.1545511726121	9.47973762242789	9.44828825590799	0	6.97726660077276	0.395363464821637	0.130290232725312	3.41450265073233	"Yes"
"Prostate"	22388	159	152	56	24	2611	39	71.1822090711545	9.12663553562347	9.03416709048037	0	6.68546858384576	0.406861158629618	0.0924684451430949	3.47219011512321	"Yes"
"SkinNotSE_Suprapubic"	21343	408	387	73	18	2709	47	73.478976942453	8.30749854679326	8.97112962604147	0	5.57062584770393	0.445650067816315	0.0823483820964929	3.14377058709552	"Yes"
"SkinSE_LowerLeg"	21379	592	473	81	21	2845	42	73.587277033886	8.29023057959105	8.91864455938512	0	5.69439744767245	0.396384202639339	0.0821772127423019	3.03088896408372	"Yes"
"SmallInstentineTerminalIlleum"	21668	143	137	29	21	2505	41	72.9201510010991	8.52487217470254	8.40540927987767	0	5.61475605676877	0.406173842404549	0.105127347445883	4.02351029770152	"Yes"
"Spleen"	22210	169	162	62	14	2451	38	69.9873896595208	8.92998925785811	9.54649479239643	0	6.77221988697398	0.41567418616599	0.13544439773948	4.21278781934521	"Yes"
"Stomach"	19889	272	262	42	21	2690	56	76.5142086704003	7.76291225886745	7.08877826177142	0	4.84857913295997	0.357809583074051	0.0414851690520639	3.3862269238747	"Yes"
"Testis"	31537	284	259	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"
"Thyroid"	22544	564	446	41	14	2812	46	69.9834467537245	9.33419164980688	9.84918153393416	0	6.77763472503219	0.446018024645944	0.128747471031819	3.48077984182454	"Yes"
"Uterus"	21705	117	111	104	16	2059	39	70.9269595916225	9.05014073756023	9.67511092028052	0	6.3928247698106	0.4293688278231	0.10018605982539	3.42540909307763	"Yes"
"Vagina"	21545	124	115	57	16	2006	29	72.5680280270672	8.65287709363152	8.91683063780775	0	5.95575178768537	0.407928204635984	0.0815856409271968	3.41699860824495	"Yes"
"WholeBlood"	15559	2412	407	42	21	2135	22	80.8154903515728	5.76923076923077	6.05339677504626	0	3.57520486386466	0.191646841131377	0.0264340470526038	3.56859635210151	"Yes"
