"Total signals"	"Cell type"
"blue"	0	""
"greenyellow"	2	" Cortex_Endothelial_Neuroexpresso Endothelial"
"magenta"	0	""
"black"	0	""
"red"	0	""
"tan"	0	""
"brown"	3	" Cerebellum_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaActivation_Neuroexpresso"
"green"	2	" Cerebellum_Microglia_Neuroexpresso Microglia"
"yellow"	1	" Ependymal"
